Weapon,Picture,Weapon Type,Attack Type,Base Dmg,Cooldown Stat,Base Range,Recoil Duration,Base Crit Chance,Crit Multiplier,Amount of Projectiles,Bounces,Bounce Damage Falloff,Amount of Pierces,Base Pierce Damage Falloff,Extra Hits on Crit,Reload every x Shots,Reload Multiplier,Base Burn Damage,Burn Ticks,Base Spawn Dmg,Spawned Projectiles,Spawn Base Bounces,Spawn Base Bounce Falloff,Spawn Base Piercing,Spawn Base Piercing Falloff,Spawn Crit Mult,Spawn Base Crit Chance,Spawn Scaling,Spawn Stat,1 Flat Scaling,2 Flat Scaling,3 Flat Scaling,Special Stat Name,Prim Stat,Prim Stat Multiplier,2 Scaling Stat,2 Scaling Stat Multiplier,3 Scaling Stat,3 Scaling Stat Multiplier,Projectile Speed,Knock- back,Accuracy,Projectile Spread,Base Price,Explosion Chance,Explosion Size,Hitbox X,Hitbox Y,Weapon Note
Lightning Shiv 1,,Melee,Thrust,3,27,150,0.1,0.04,2,1,0,0.5,0,0.5,0,0,0,0,0,5,1,0,0,0,0.5,2,0.04,0.8,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee / 3000,0,1,0,18,0,0,68,16,"The Lightning bounces 0/1/2/3 times, the ingame tooltip lies. The spawned projectiles can crit, life steal, and even inflict burn if you have scared sausage."
Lightning Shiv 2,,Melee,Thrust,6,22,150,0.1,0.06,2,1,0,0.5,0,0.5,0,0,0,0,0,8,1,1,0,0,0.5,2,0.06,0.8,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee / 3000,0,1,0,36,0,0,68,16,"The Lightning bounces 0/1/2/3 times, the ingame tooltip lies. The spawned projectiles can crit, life steal, and even inflict burn if you have scared sausage."
Lightning Shiv 3,,Melee,Thrust,9,18,150,0.1,0.08,2,1,0,0.5,0,0.5,0,0,0,0,0,12,1,2,0,0,0.5,2,0.08,0.8,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee / 3000,0,1,0,66,0,0,68,16,"The Lightning bounces 0/1/2/3 times, the ingame tooltip lies. The spawned projectiles can crit, life steal, and even inflict burn if you have scared sausage."
Lightning Shiv 4,,Melee,Thrust,15,13,150,0.1,0.1,2,1,0,0.5,0,0.5,0,0,0,0,0,15,1,3,0,0,0.5,2,0.1,0.8,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee / 3000,0,1,0,142,0,0,68,16,"The Lightning bounces 0/1/2/3 times, the ingame tooltip lies. The spawned projectiles can crit, life steal, and even inflict burn if you have scared sausage."
Medical Gun 1,,Ranged,Projectile,10,35,400,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,0.9,0,15,0,0,Ranged,Ranged,Has 50% Innate Life Steal
Medical Gun 2,,Ranged,Projectile,15,30,400,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,0.9,0,31,0,0,Ranged,Ranged,Has 55% Innate Life Steal
Medical Gun 3,,Ranged,Projectile,20,25,400,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,0.9,0,61,0,0,Ranged,Ranged,Has 60% Innate Life Steal
Medical Gun 4,,Ranged,Projectile,30,17,400,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,1,0,122,0,0,Ranged,Ranged,Has 65% Innate Life Steal
Minigun 3,,Ranged,Projectile,2,3,400,0.02,0.01,1.75,1,0,0.5,1,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,3,0.85,0,127,0,0,Ranged,Ranged,
Minigun 4,,Ranged,Projectile,5,3,450,0.02,0.03,2,1,0,0.5,2,0.25,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.75,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,3,1,0,255,0,0,Ranged,Ranged,
Nuclear Launcher 3,,Ranged,Projectile,60,110,800,0.142,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,3000,15,1,0,144,1,2,Ranged,Ranged,
Nuclear Launcher 4,,Ranged,Projectile,120,110,800,0.142,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,3000,15,1,0,289,1,2.25,Ranged,Ranged,
Obliterator 3,,Ranged,Projectile,250,170,800,0.2,0.03,2,1,0,0.5,99,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,10,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,1,0,127,0,0,Ranged,Ranged,
Obliterator 4,,Ranged,Projectile,400,170,1000,0.2,0.03,2,1,0,0.5,99,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,15,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,0,1,0,255,0,0,Ranged,Ranged,
Particle Accelerator 3,,Ranged,Projectile,60,100,800,0.142,0.03,2,1,-999999,0.5,99,0,0,0,0,8,8,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Elemental_Damage,1.0,DPS_Engineering,1.0,,1.0,500,0,1,0,144,0,0,Ranged,Ranged,This weapon cannot Bounce.
Particle Accelerator 4,,Ranged,Projectile,120,80,800,0.142,0.03,2,1,-999999,0.5,99,0,0,0,0,10,10,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1,,Special Scaling,DPS_Elemental_Damage,1.0,DPS_Engineering,1.0,,1.0,500,0,1,0,289,0,0,Ranged,Ranged,This weapon cannot Bounce.
Pistol 1,,Ranged,Projectile,12,60,400,0.1,0.1,2,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,0.9,0,10,0,0,Ranged,Ranged,
Pistol 2,,Ranged,Projectile,20,55,400,0.1,0.15,2,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,0.9,0,22,0,0,Ranged,Ranged,
Pistol 3,,Ranged,Projectile,30,50,400,0.1,0.2,2,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,0.9,0,45,0,0,Ranged,Ranged,
Pistol 4,,Ranged,Projectile,50,40,400,0.1,0.25,2,1,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,1,0,91,0,0,Ranged,Ranged,
Plank 1,,Melee,Swing,10,40,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.6,0.6,0.6,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,DPS_Engineering,1.0,Melee,5,1,0,15,0.25,0.75,72,16,
Plank 2,,Melee,Swing,15,35,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.7,0.7,0.7,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,DPS_Engineering,1.0,Melee,5,1,0,31,0.3,0.75,72,16,
Plank 3,,Melee,Swing,20,30,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,0.8,0.8,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,DPS_Engineering,1.0,Melee,5,1,0,61,0.4,0.75,72,16,
Plank 4,,Melee,Swing,30,25,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.9,0.9,0.9,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,DPS_Engineering,1.0,Melee,5,1,0,122,0.5,0.75,72,16,
Plasma Sledgehammer 3,,Melee,Swing,80,58,175,0.1,0.03,1.75,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.5,1.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,30,1,0,136,0.25,1,89,32,
Plasma Sledgehammer 4,,Melee,Swing,120,54,175,0.1,0.03,1.75,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,2,2,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Elemental_Damage,1.0,,1.0,Melee,30,1,0,272,0.5,1.25,89,32,
Potato Thrower 2,,Ranged,Projectile,3,15,500,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.4,0.2,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Max_HP,1.0,,1.0,2000,20,0.9,0,36,0,0,Ranged,Ranged,
Potato Thrower 3,,Ranged,Projectile,5,10,500,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.4,0.2,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Max_HP,1.0,,1.0,2000,25,0.9,0,69,0,0,Ranged,Ranged,
Potato Thrower 4,,Ranged,Projectile,10,5,500,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.4,0.2,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Max_HP,1.0,,1.0,2000,30,0.9,0,139,0,0,Ranged,Ranged,
Power fist 3,,Melee,Thrust,40,8,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,110,0.25,1,48,20,
Power fist 4,,Melee,Thrust,80,2,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,15,1,0,221,0.5,1.25,48,20,
Pruner 1,,Melee,Thrust,10,35,150,0.1,0.03,1.25,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,15,0,0,72,16,
Pruner 2,,Melee,Thrust,15,30,150,0.1,0.06,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.65,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,28,0,0,72,16,
Pruner 3,,Melee,Thrust,20,25,150,0.1,0.09,1.75,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,52,0,0,72,16,
Pruner 4,,Melee,Thrust,25,20,150,0.1,0.12,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,95,0,0,72,16,
Quarterstaff 1,,Melee,Swing/Thrust,10,50,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.75,,Level,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,15,0,0,92,20.5,
Quarterstaff 2,,Melee,Swing/Thrust,15,40,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.65,0.85,,Level,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,31,0,0,92,20.5,
Quarterstaff 3,,Melee,Swing/Thrust,20,30,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.85,1,,Level,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,61,0,0,92,20.5,
Quarterstaff 4,,Melee,Swing/Thrust,30,20,175,0.1,0.03,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,1.25,,Level,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,0,1,0,122,0,0,92,20.5,
Revolver 1,,Ranged,Projectile,15,14,450,0.1,0.03,2,1,0,0.5,0,0.5,0,6,8,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,0.9,0,20,0,0,Ranged,Ranged,
Revolver 2,,Ranged,Projectile,20,13,450,0.1,0.03,2,1,0,0.5,0,0.5,0,6,8,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.3,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,0.9,0,34,0,0,Ranged,Ranged,
Revolver 3,,Ranged,Projectile,25,12,450,0.1,0.03,2,1,0,0.5,0,0.5,0,6,8,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.65,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,0.9,0,70,0,0,Ranged,Ranged,
Revolver 4,,Ranged,Projectile,40,11,450,0.1,0.03,2,1,0,0.5,0,0.5,0,6,8,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,2,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,15,1,0,130,0,0,Ranged,Ranged,
Rock 1,,Melee,Thrust,20,67,150,0.1,0.1,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,5,1,0,10,0,0,50,25,Rock provides additional Armor/Max HP when upgraded. It also comes with some higher base crit chance despite having a 1.5 Modifier.
Rock 2,,Melee,Thrust,35,63,150,0.1,0.15,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,5,1,0,22,0,0,50,25,Rock provides additional Armor/Max HP when upgraded. It also comes with some higher base crit chance despite having a 1.5 Modifier.
Rock 3,,Melee,Thrust,50,58,150,0.1,0.2,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,5,1,0,45,0,0,50,25,Rock provides additional Armor/Max HP when upgraded. It also comes with some higher base crit chance despite having a 1.5 Modifier.
Rock 4,,Melee,Thrust,70,54,150,0.1,0.25,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,5,1,0,91,0,0,50,25,Rock provides additional Armor/Max HP when upgraded. It also comes with some higher base crit chance despite having a 1.5 Modifier.
Rocket Launcher 2,,Ranged,Projectile,30,90,500,0.142,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,15,0.8,0,56,1,1.2,Ranged,Ranged,
Rocket Launcher 3,,Ranged,Projectile,50,65,550,0.142,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,15,0.9,0,103,1,1.2,Ranged,Ranged,
Rocket Launcher 4,,Ranged,Projectile,80,45,600,0.142,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,15,1,0,207,1,1.2,Ranged,Ranged,
Scissors 1,,Melee,Thrust,5,27,150,0.1,0.1,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,15,0,0,72,16,
Scissors 2,,Melee,Thrust,10,25,150,0.1,0.12,2.15,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,31,0,0,72,16,
Scissors 3,,Melee,Thrust,15,23,150,0.1,0.15,2.3,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,61,0,0,72,16,
Scissors 4,,Melee,Thrust,20,18,150,0.1,0.2,2.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,2,1,0,122,0,0,72,16,
Screwdriver 1,,Melee,Thrust,8,31,135,0.1,0.1,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.5,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,3,1,0,10,0,0,72,16,
Screwdriver 2,,Melee,Thrust,12,28,135,0.1,0.15,2.15,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.6,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,3,1,0,22,0,0,72,16,
Screwdriver 3,,Melee,Thrust,16,26,135,0.1,0.2,2.3,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.7,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,3,1,0,45,0,0,72,16,
Screwdriver 4,,Melee,Thrust,20,20,135,0.1,0.3,2.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.8,,Special Scaling,DPS_Melee_Damage,1.0,DPS_Engineering,1.0,,1.0,Melee,3,1,0,91,0,0,72,16,
Scythe 4,,Melee,Swing,150,3,250,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1.5,1,,Life Steal,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,5,1,0,285,0,0,76.5,52,"The innate 100% life steal doesn't contribute to the weapon's life steal scaling for damage. Only increasing your Life steal stat counts for the scaling. The +3% damage affects all your damage, as it increases the %dmg stat."
Sharp Tooth 1,,Melee,Thrust,5,35,150,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.5,,Life Steal,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,12,0,0,72,16,
Sharp Tooth 2,,Melee,Thrust,8,30,160,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.65,,Life Steal,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,26,0,0,72,16,
Sharp Tooth 3,,Melee,Thrust,11,25,170,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,0.8,,Life Steal,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,52,0,0,72,16,
Sharp Tooth 4,,Melee,Thrust,15,20,180,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,1,,Life Steal,DPS_Melee_Damage,1.0,DPS_Special_Stat,1.0,,1.0,Melee,2,1,0,105,0,0,72,16,
Shredder 1,,Ranged,Projectile,5,60,450,0.15,0.03,2,1,0,0.5,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2500,0,1,0,15,0,0,Ranged,Ranged,
Shredder 2,,Ranged,Projectile,10,55,450,0.15,0.03,2,1,0,0.5,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2500,0,1,0,31,0,0,Ranged,Ranged,
Shredder 3,,Ranged,Projectile,15,45,450,0.15,0.03,2,1,0,0.5,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2500,0,1,0,61,0,0,Ranged,Ranged,
Shredder 4,,Ranged,Projectile,25,40,450,0.15,0.03,2,1,0,0.5,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2500,0,1,0,122,0,0,Ranged,Ranged,
Shuriken 1,,Ranged,Projectile,7,40,350,0.1,0.35,1.5,1,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.25,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,1500,0,1,0,12,0,0,Ranged,Ranged,
Shuriken 2,,Ranged,Projectile,9,38,350,0.1,0.38,1.5,1,0,0,0,0.5,2,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.34,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,1500,0,1,0,26,0,0,Ranged,Ranged,
Shuriken 3,,Ranged,Projectile,11,36,350,0.1,0.41,1.5,1,0,0,0,0.5,3,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.42,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,1500,0,1,0,52,0,0,Ranged,Ranged,
Shuriken 4,,Ranged,Projectile,15,30,350,0.1,0.45,1.5,1,0,0,0,0.5,4,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,1500,0,1,0,105,0,0,Ranged,Ranged,
Slingshot 1,,Ranged,Projectile,10,55,300,0.15,0.03,2,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,5,1,0,15,0,0,Ranged,Ranged,
Slingshot 2,,Ranged,Projectile,13,52,300,0.15,0.03,2,1,2,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,5,1,0,31,0,0,Ranged,Ranged,
Slingshot 3,,Ranged,Projectile,16,50,300,0.15,0.03,2,1,3,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,5,1,0,61,0,0,Ranged,Ranged,
Slingshot 4,,Ranged,Projectile,20,48,300,0.15,0.03,2,1,4,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,2000,5,1,0,122,0,0,Ranged,Ranged,
SMG 1,,Ranged,Projectile,3,4,400,0.05,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.5,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,0.7,0,20,0,0,Ranged,Ranged,
SMG 2,,Ranged,Projectile,4,4,400,0.05,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.6,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,0.75,0,39,0,0,Ranged,Ranged,
SMG 3,,Ranged,Projectile,5,4,400,0.05,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.7,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,0.8,0,74,0,0,Ranged,Ranged,
SMG 4,,Ranged,Projectile,8,3,400,0.05,0.01,1.5,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,0.8,,,Special Scaling,DPS_Ranged_Damage,1.0,,1.0,,1.0,3000,0,0.85,0,149,0,0,Ranged,Ranged,
Sniper Gun 3,,Ranged,Projectile,50,120,800,0.2,0.2,3,1,0,0.5,0,0.5,0,0,0,0,0,5,5,0,0.5,0,0.5,3,0.2,0.1,0,1,0.2,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Range_Stat,1.0,,1.0,3000,30,1,0,115,0,0,Ranged,Ranged,This weapon is really improved by having some piercing or bounces. Each Pierce or bounce by the main projectile spawns 5/8 full damage projectiles. Sniper Gun benefits much more from range than Ranged damage.
Sniper Gun 4,,Ranged,Projectile,80,120,1000,0.2,0.2,4,1,0,0.5,0,0.5,0,0,0,0,0,5,8,0,0.5,0,0.5,4,0.2,0.15,0,1,0.3,,Special Scaling,DPS_Ranged_Damage,1.0,DPS_Range_Stat,1.0,,1.0,3000,30,1,0,245,0,0,Ranged,Ranged,This weapon is really improved by having some piercing or bounces. Each Pierce or bounce by the main projectile spawns 5/8 full damage projectiles. Sniper Gun benefits much more from range than Ranged damage.
Spear 1,,Melee,Thrust,15,45,350,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,0,1,0,20,0,0,140,16,
Spear 2,,Melee,Thrust,25,36,375,0.1,0.03,2,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,2,0.03,0,0,1,,,Special Scaling,DPS_Melee_Damage,1.0,,1.0,,1.0,Melee,0,1,0,39,0,0,140,16,
